key,group,kind,qualys_app,control_system,pc_importable,benchmark,cis_version,pillars,law_articles,status,notes
ubuntu,Server OS · Linux (Debian family),os,Policy Compliance,pc-library,yes,CIS Ubuntu Linux LTS Benchmark (versión = la de la flota),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
debian,Server OS · Linux (Debian family),os,Policy Compliance,pc-library,yes,CIS Debian Linux Benchmark (versión = la de la flota),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
suse,Server OS · Linux (SUSE),os,Policy Compliance,pc-library,yes,CIS SUSE Linux Enterprise Benchmark (versión = la de la flota),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
amazon_linux,Server OS · Linux (Amazon),os,Policy Compliance,pc-library,yes,"CIS Amazon Linux Benchmark (2 / 2023, según la flota)",,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
aix,Server OS · Unix,os,Policy Compliance,pc-library,yes,CIS IBM AIX Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
solaris,Server OS · Unix,os,Policy Compliance,pc-library,yes,CIS Oracle Solaris Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
mssql,Bases de datos,db,Policy Compliance,pc-library,yes,CIS Microsoft SQL Server Benchmark (versión = la de la flota),,acceso; cifrado; auditoria; hardening; disponibilidad,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies c); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
oracle_db,Bases de datos,db,Policy Compliance,pc-library,yes,CIS Oracle Database Benchmark (19c/RDBMS + On Host OS),,acceso; cifrado; auditoria; hardening; disponibilidad,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies c); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
postgres,Bases de datos,db,Policy Compliance,pc-library,yes,CIS PostgreSQL Benchmark (versión = la de la flota),,acceso; cifrado; auditoria; hardening; disponibilidad,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies c); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
mysql,Bases de datos,db,Policy Compliance,pc-library,yes,CIS Oracle MySQL Community/Enterprise Benchmark,,acceso; cifrado; auditoria; hardening; disponibilidad,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies c); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
mariadb,Bases de datos,db,Policy Compliance,pc-library,yes,CIS MariaDB Benchmark,,acceso; cifrado; auditoria; hardening; disponibilidad,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies c); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
mongodb,Bases de datos,db,Policy Compliance,pc-library,yes,CIS MongoDB Benchmark,,acceso; cifrado; auditoria; hardening; disponibilidad,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies c); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
db2,Bases de datos,db,Policy Compliance,pc-library,yes,CIS IBM Db2 Benchmark,,acceso; cifrado; auditoria; hardening; disponibilidad,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies c); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
iis,Web / middleware,middleware,Policy Compliance,pc-library,yes,CIS Microsoft IIS Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
apache_http,Web / middleware,middleware,Policy Compliance,pc-library,yes,CIS Apache HTTP Server Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
nginx,Web / middleware,middleware,Policy Compliance,pc-library,yes,CIS NGINX Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
tomcat,Web / middleware,middleware,Policy Compliance,pc-library,yes,CIS Apache Tomcat Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
websphere,Web / middleware,middleware,Policy Compliance,pc-library,yes,CIS IBM WebSphere Benchmark (Traditional / Liberty),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
docker,Contenedores,container,Policy Compliance,pc-library,yes,CIS Docker Benchmark,,acceso; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
kubernetes,Contenedores,container,Policy Compliance,pc-library,yes,CIS Kubernetes Benchmark,,acceso; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
esxi,Virtualización,virtualization,Policy Compliance,pc-library,yes,CIS VMware ESXi Benchmark (versión = la de la flota),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
cisco_ios,Red / seguridad,network,Policy Compliance,pc-library,yes,CIS Cisco IOS Benchmark (o DISA Cisco IOS STIG),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
palo_alto,Red / seguridad,network,Policy Compliance,pc-library,yes,CIS Palo Alto Firewall Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
cloud_aws,Cloud · AWS,cloud,TotalCloud / CloudView (CSPM),cloud-posture,no,CIS Amazon Web Services Foundations Benchmark,v5.0.0 (base ampliamente adoptada; v7.0.0 = última publicada 2026),acceso; cifrado; auditoria; hardening; disponibilidad,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies c); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),planned,"Cloud posture (CSPM): IAM/MFA (acceso), KMS/cifrado en reposo+tránsito (cifrado), CloudTrail/Config (auditoria), endurecimiento de servicios (hardening), backups/multi-AZ (disponibilidad). NO es librería PC."
cloud_azure,Cloud · Azure,cloud,TotalCloud / CloudView (CSPM),cloud-posture,no,CIS Microsoft Azure Foundations Benchmark,v6.0.0 (2026),acceso; cifrado; auditoria; hardening; disponibilidad,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies c); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),planned,"Cloud posture (CSPM). RBAC/PIM, Key Vault, Monitor/Activity Log, Defender. NO es librería PC."
cloud_gcp,Cloud · GCP,cloud,TotalCloud / CloudView (CSPM),cloud-posture,no,CIS Google Cloud Platform Foundation Benchmark,v5.0.0 (2026-05; v4.0.0 = 2025),acceso; cifrado; auditoria; hardening; disponibilidad,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies c); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),planned,"Cloud posture (CSPM). IAM, Cloud KMS, Cloud Audit Logs. NO es librería PC."
cloud_oci,Cloud · OCI,cloud,TotalCloud / CloudView (CSPM),cloud-posture,no,CIS Oracle Cloud Infrastructure Foundations Benchmark,v3.1.0 (2026-03; v3.0.0 = 2025-02),acceso; cifrado; auditoria; hardening; disponibilidad,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies c); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),planned,Cloud posture (CSPM). NO es librería PC.
identity_entra,Identidad · Entra ID / M365,identity,TotalCloud / CloudView (CSPM),cloud-posture,no,CIS Microsoft 365 Foundations Benchmark (incl. sección Entra ID / Azure AD),v7.0.0 (2026-06; sección 5 = Entra ID); v6.0.1 = 2026-02 (sigue como versión de automated assessment en CIS-CAT Pro),acceso; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),planned,"Identidad cloud: MFA, acceso condicional, roles privilegiados, sign-in logs. Cloud posture (CSPM), NO PC."
identity_ad,Identidad · Active Directory,identity,Policy Compliance,pc-library,yes,CIS Microsoft Windows Server Benchmark (perfil Domain Controller),(la del CIS Windows Server de la flota; resuelta por win_server_*),acceso; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,"AD no tiene benchmark standalone: los controles de Domain Controller viven en el CIS Windows Server (perfil DC), YA cubierto por los targets win_server_*. SÍ PC-importable; acá solo para visibilidad en la matriz."
