obligation_id,article,obligation,coverage_type,module_key,module_name,module_domain,module_role,grounding,scope_note
art_3_f,Art. 3° f),Principio de seguridad (paraguas),detection-substrate,trurisk,TruRisk / Reporting,cuantificación de riesgo + evidencia,evidence,grounded,Sustrato técnico del principio. Qualys detecta/verifica; NO implementa el control (cifrado/backup fuera).
art_3_h,Art. 3° h),Confidencialidad,partial,pc_pa,Policy Compliance / Policy Audit,config compliance & hardening,full-in-domain,grounded,Pata técnica (acceso/exposición) mapea; el deber de secreto de las personas es organizacional.
art_3_h,Art. 3° h),Confidencialidad,partial,was_tas,WAS / TotalAppSec,web & API,full-in-domain,grounded,Pata técnica (acceso/exposición) mapea; el deber de secreto de las personas es organizacional.
art_3_h,Art. 3° h),Confidencialidad,partial,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,Pata técnica (acceso/exposición) mapea; el deber de secreto de las personas es organizacional.
art_3_h,Art. 3° h),Confidencialidad,partial,etm_id,ETM Identity,identidad (AD / Entra ID),full-in-domain,grounded,Pata técnica (acceso/exposición) mapea; el deber de secreto de las personas es organizacional.
art_3_h,Art. 3° h),Confidencialidad,partial,cs,Container Security,imágenes / registry / runtime / K8s,full-in-domain,grounded,Pata técnica (acceso/exposición) mapea; el deber de secreto de las personas es organizacional.
art_3_h,Art. 3° h),Confidencialidad,partial,fim_fam,FIM / FAM,integridad de archivos & acceso a dato,detection-substrate,grounded,Pata técnica (acceso/exposición) mapea; el deber de secreto de las personas es organizacional.
art_8_bis_final,Art. 8° bis inc. final,Decisiones automatizadas / perfilado,out-of-scope,—,—,,,,Organizacional. Gobernanza de IA/explicabilidad. Sin fit Qualys.
art_14_bis,Art. 14 bis,Deber de secreto / confidencialidad,detection-substrate,etm_id,ETM Identity,identidad (AD / Entra ID),full-in-domain,grounded,Esencialmente NDA/políticas/governance. Qualys aporta detección de accesos indebidos a lo sumo.
art_14_bis,Art. 14 bis,Deber de secreto / confidencialidad,detection-substrate,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,Esencialmente NDA/políticas/governance. Qualys aporta detección de accesos indebidos a lo sumo.
art_14_bis,Art. 14 bis,Deber de secreto / confidencialidad,detection-substrate,fim_fam,FIM / FAM,integridad de archivos & acceso a dato,detection-substrate,grounded,Esencialmente NDA/políticas/governance. Qualys aporta detección de accesos indebidos a lo sumo.
art_14_bis,Art. 14 bis,Deber de secreto / confidencialidad,detection-substrate,csam,CyberSecurity Asset Management (CSAM),superficie / inventario de activos,detection-substrate,grounded,Esencialmente NDA/políticas/governance. Qualys aporta detección de accesos indebidos a lo sumo.
art_14_ter_e,Art. 14 ter e),Mantener publicada la política y medidas adoptadas,evidence,pc_pa,Policy Compliance / Policy Audit,config compliance & hardening,full-in-domain,grounded,Organizacional (transparencia). Qualys NUTRE el contenido; el acto de publicar es del responsable.
art_14_ter_e,Art. 14 ter e),Mantener publicada la política y medidas adoptadas,evidence,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,Organizacional (transparencia). Qualys NUTRE el contenido; el acto de publicar es del responsable.
art_14_ter_e,Art. 14 ter e),Mantener publicada la política y medidas adoptadas,evidence,csam,CyberSecurity Asset Management (CSAM),superficie / inventario de activos,detection-substrate,grounded,Organizacional (transparencia). Qualys NUTRE el contenido; el acto de publicar es del responsable.
art_14_ter_e,Art. 14 ter e),Mantener publicada la política y medidas adoptadas,evidence,fim_fam,FIM / FAM,integridad de archivos & acceso a dato,detection-substrate,grounded,Organizacional (transparencia). Qualys NUTRE el contenido; el acto de publicar es del responsable.
art_14_quater,Art. 14 quáter,Protección desde el diseño y por defecto + minimización,partial,pc_pa,Policy Compliance / Policy Audit,config compliance & hardening,full-in-domain,grounded,Pata técnica: hardening por defecto + reducción de superficie + IaC posture. Minimización a nivel de campo = sin pata (no DSPM).
art_14_quater,Art. 14 quáter,Protección desde el diseño y por defecto + minimización,partial,csam,CyberSecurity Asset Management (CSAM),superficie / inventario de activos,detection-substrate,grounded,Pata técnica: hardening por defecto + reducción de superficie + IaC posture. Minimización a nivel de campo = sin pata (no DSPM).
art_14_quater,Art. 14 quáter,Protección desde el diseño y por defecto + minimización,partial,was_tas,WAS / TotalAppSec,web & API,full-in-domain,grounded,Pata técnica: hardening por defecto + reducción de superficie + IaC posture. Minimización a nivel de campo = sin pata (no DSPM).
art_14_quater,Art. 14 quáter,Protección desde el diseño y por defecto + minimización,partial,cs,Container Security,imágenes / registry / runtime / K8s,full-in-domain,grounded,Pata técnica: hardening por defecto + reducción de superficie + IaC posture. Minimización a nivel de campo = sin pata (no DSPM).
art_14_quater,Art. 14 quáter,Protección desde el diseño y por defecto + minimización,partial,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,Pata técnica: hardening por defecto + reducción de superficie + IaC posture. Minimización a nivel de campo = sin pata (no DSPM).
art_14_quinquies_final,Art. 14 quinquies (inc. final),Acreditar existencia Y funcionamiento de las medidas (carga de la prueba),evidence,vmdr_pm,VMDR + Patch Management,vulnerabilidades + remediación,full-in-domain,grounded,"EL punto bisagra — acotado: evidencia de las medidas que Qualys MISMO verifica (config/vulns/postura), no de cifrado/backups/medidas organizativas."
art_14_quinquies_final,Art. 14 quinquies (inc. final),Acreditar existencia Y funcionamiento de las medidas (carga de la prueba),evidence,pc_pa,Policy Compliance / Policy Audit,config compliance & hardening,full-in-domain,grounded,"EL punto bisagra — acotado: evidencia de las medidas que Qualys MISMO verifica (config/vulns/postura), no de cifrado/backups/medidas organizativas."
art_14_quinquies_final,Art. 14 quinquies (inc. final),Acreditar existencia Y funcionamiento de las medidas (carga de la prueba),evidence,was_tas,WAS / TotalAppSec,web & API,full-in-domain,grounded,"EL punto bisagra — acotado: evidencia de las medidas que Qualys MISMO verifica (config/vulns/postura), no de cifrado/backups/medidas organizativas."
art_14_quinquies_final,Art. 14 quinquies (inc. final),Acreditar existencia Y funcionamiento de las medidas (carga de la prueba),evidence,cs,Container Security,imágenes / registry / runtime / K8s,full-in-domain,grounded,"EL punto bisagra — acotado: evidencia de las medidas que Qualys MISMO verifica (config/vulns/postura), no de cifrado/backups/medidas organizativas."
art_14_quinquies_final,Art. 14 quinquies (inc. final),Acreditar existencia Y funcionamiento de las medidas (carga de la prueba),evidence,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,"EL punto bisagra — acotado: evidencia de las medidas que Qualys MISMO verifica (config/vulns/postura), no de cifrado/backups/medidas organizativas."
art_14_quinquies_final,Art. 14 quinquies (inc. final),Acreditar existencia Y funcionamiento de las medidas (carga de la prueba),evidence,fim_fam,FIM / FAM,integridad de archivos & acceso a dato,detection-substrate,grounded,"EL punto bisagra — acotado: evidencia de las medidas que Qualys MISMO verifica (config/vulns/postura), no de cifrado/backups/medidas organizativas."
art_14_quinquies_final,Art. 14 quinquies (inc. final),Acreditar existencia Y funcionamiento de las medidas (carga de la prueba),evidence,edr,EDR,endpoint / IoC / contención,detection-substrate,grounded,"EL punto bisagra — acotado: evidencia de las medidas que Qualys MISMO verifica (config/vulns/postura), no de cifrado/backups/medidas organizativas."
art_14_quinquies_final,Art. 14 quinquies (inc. final),Acreditar existencia Y funcionamiento de las medidas (carga de la prueba),evidence,saq,Security Assessment Questionnaire (SAQ),assessment organizativo (autodeclarado),full-in-domain,grounded,"EL punto bisagra — acotado: evidencia de las medidas que Qualys MISMO verifica (config/vulns/postura), no de cifrado/backups/medidas organizativas."
art_14_quinquies_final,Art. 14 quinquies (inc. final),Acreditar existencia Y funcionamiento de las medidas (carga de la prueba),evidence,trurisk,TruRisk / Reporting,cuantificación de riesgo + evidencia,evidence,grounded,"EL punto bisagra — acotado: evidencia de las medidas que Qualys MISMO verifica (config/vulns/postura), no de cifrado/backups/medidas organizativas."
art_14_quinquies_a,Art. 14 quinquies a),Seudonimización y cifrado de datos personales,detection-substrate,pc_pa,Policy Compliance / Policy Audit,config compliance & hardening,full-in-domain,grounded,Business-decision. Qualys NO cifra/seudonimiza; a lo sumo DETECTA ausencia/debilidad vía checks de config.
art_14_quinquies_a,Art. 14 quinquies a),Seudonimización y cifrado de datos personales,detection-substrate,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,Business-decision. Qualys NO cifra/seudonimiza; a lo sumo DETECTA ausencia/debilidad vía checks de config.
art_14_quinquies_a,Art. 14 quinquies a),Seudonimización y cifrado de datos personales,detection-substrate,was_tas,WAS / TotalAppSec,web & API,full-in-domain,grounded,Business-decision. Qualys NO cifra/seudonimiza; a lo sumo DETECTA ausencia/debilidad vía checks de config.
art_14_quinquies_a,Art. 14 quinquies a),Seudonimización y cifrado de datos personales,detection-substrate,cs,Container Security,imágenes / registry / runtime / K8s,full-in-domain,grounded,Business-decision. Qualys NO cifra/seudonimiza; a lo sumo DETECTA ausencia/debilidad vía checks de config.
art_14_quinquies_a,Art. 14 quinquies a),Seudonimización y cifrado de datos personales,detection-substrate,certview,Certificate View (CertView),TLS/SSL en tránsito,detection-substrate,grounded,Business-decision. Qualys NO cifra/seudonimiza; a lo sumo DETECTA ausencia/debilidad vía checks de config.
art_14_quinquies_b,Art. 14 quinquies b),Garantizar CIA y resiliencia permanentes,detection-substrate,vmdr_pm,VMDR + Patch Management,vulnerabilidades + remediación,full-in-domain,grounded,"Corazón del fit. Verifica/monitorea estado CIA; la garantía operativa/resiliencia (HA, backups) la dan otras capas."
art_14_quinquies_b,Art. 14 quinquies b),Garantizar CIA y resiliencia permanentes,detection-substrate,pc_pa,Policy Compliance / Policy Audit,config compliance & hardening,full-in-domain,grounded,"Corazón del fit. Verifica/monitorea estado CIA; la garantía operativa/resiliencia (HA, backups) la dan otras capas."
art_14_quinquies_b,Art. 14 quinquies b),Garantizar CIA y resiliencia permanentes,detection-substrate,was_tas,WAS / TotalAppSec,web & API,full-in-domain,grounded,"Corazón del fit. Verifica/monitorea estado CIA; la garantía operativa/resiliencia (HA, backups) la dan otras capas."
art_14_quinquies_b,Art. 14 quinquies b),Garantizar CIA y resiliencia permanentes,detection-substrate,cs,Container Security,imágenes / registry / runtime / K8s,full-in-domain,grounded,"Corazón del fit. Verifica/monitorea estado CIA; la garantía operativa/resiliencia (HA, backups) la dan otras capas."
art_14_quinquies_b,Art. 14 quinquies b),Garantizar CIA y resiliencia permanentes,detection-substrate,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,"Corazón del fit. Verifica/monitorea estado CIA; la garantía operativa/resiliencia (HA, backups) la dan otras capas."
art_14_quinquies_b,Art. 14 quinquies b),Garantizar CIA y resiliencia permanentes,detection-substrate,etm_id,ETM Identity,identidad (AD / Entra ID),full-in-domain,grounded,"Corazón del fit. Verifica/monitorea estado CIA; la garantía operativa/resiliencia (HA, backups) la dan otras capas."
art_14_quinquies_b,Art. 14 quinquies b),Garantizar CIA y resiliencia permanentes,detection-substrate,fim_fam,FIM / FAM,integridad de archivos & acceso a dato,detection-substrate,grounded,"Corazón del fit. Verifica/monitorea estado CIA; la garantía operativa/resiliencia (HA, backups) la dan otras capas."
art_14_quinquies_b,Art. 14 quinquies b),Garantizar CIA y resiliencia permanentes,detection-substrate,edr,EDR,endpoint / IoC / contención,detection-substrate,grounded,"Corazón del fit. Verifica/monitorea estado CIA; la garantía operativa/resiliencia (HA, backups) la dan otras capas."
art_14_quinquies_b,Art. 14 quinquies b),Garantizar CIA y resiliencia permanentes,detection-substrate,csam,CyberSecurity Asset Management (CSAM),superficie / inventario de activos,detection-substrate,grounded,"Corazón del fit. Verifica/monitorea estado CIA; la garantía operativa/resiliencia (HA, backups) la dan otras capas."
art_14_quinquies_b,Art. 14 quinquies b),Garantizar CIA y resiliencia permanentes,detection-substrate,certview,Certificate View (CertView),TLS/SSL en tránsito,detection-substrate,grounded,"Corazón del fit. Verifica/monitorea estado CIA; la garantía operativa/resiliencia (HA, backups) la dan otras capas."
art_14_quinquies_c,Art. 14 quinquies c),Restaurar disponibilidad y acceso tras incidente,out-of-scope,—,—,,,,Business-decision. Backup/DR/RTO-RPO. Qualys NO restaura; contención (EDR) != restauración del dato.
art_14_quinquies_d,Art. 14 quinquies d),Proceso de verificación/evaluación REGULAR de la eficacia,full-in-domain,pc_pa,Policy Compliance / Policy Audit,config compliance & hardening,full-in-domain,grounded,"El fit MÁS directo — pero per-dominio, no del artículo entero. Cada módulo ES el proceso de verificación de SU dominio. SAQ = assessment organizativo autodeclarado."
art_14_quinquies_d,Art. 14 quinquies d),Proceso de verificación/evaluación REGULAR de la eficacia,full-in-domain,vmdr_pm,VMDR + Patch Management,vulnerabilidades + remediación,full-in-domain,grounded,"El fit MÁS directo — pero per-dominio, no del artículo entero. Cada módulo ES el proceso de verificación de SU dominio. SAQ = assessment organizativo autodeclarado."
art_14_quinquies_d,Art. 14 quinquies d),Proceso de verificación/evaluación REGULAR de la eficacia,full-in-domain,was_tas,WAS / TotalAppSec,web & API,full-in-domain,grounded,"El fit MÁS directo — pero per-dominio, no del artículo entero. Cada módulo ES el proceso de verificación de SU dominio. SAQ = assessment organizativo autodeclarado."
art_14_quinquies_d,Art. 14 quinquies d),Proceso de verificación/evaluación REGULAR de la eficacia,full-in-domain,cs,Container Security,imágenes / registry / runtime / K8s,full-in-domain,grounded,"El fit MÁS directo — pero per-dominio, no del artículo entero. Cada módulo ES el proceso de verificación de SU dominio. SAQ = assessment organizativo autodeclarado."
art_14_quinquies_d,Art. 14 quinquies d),Proceso de verificación/evaluación REGULAR de la eficacia,full-in-domain,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,"El fit MÁS directo — pero per-dominio, no del artículo entero. Cada módulo ES el proceso de verificación de SU dominio. SAQ = assessment organizativo autodeclarado."
art_14_quinquies_d,Art. 14 quinquies d),Proceso de verificación/evaluación REGULAR de la eficacia,full-in-domain,etm_id,ETM Identity,identidad (AD / Entra ID),full-in-domain,grounded,"El fit MÁS directo — pero per-dominio, no del artículo entero. Cada módulo ES el proceso de verificación de SU dominio. SAQ = assessment organizativo autodeclarado."
art_14_quinquies_d,Art. 14 quinquies d),Proceso de verificación/evaluación REGULAR de la eficacia,full-in-domain,saq,Security Assessment Questionnaire (SAQ),assessment organizativo (autodeclarado),full-in-domain,grounded,"El fit MÁS directo — pero per-dominio, no del artículo entero. Cada módulo ES el proceso de verificación de SU dominio. SAQ = assessment organizativo autodeclarado."
art_14_quinquies_d,Art. 14 quinquies d),Proceso de verificación/evaluación REGULAR de la eficacia,full-in-domain,trurisk,TruRisk / Reporting,cuantificación de riesgo + evidencia,evidence,grounded,"El fit MÁS directo — pero per-dominio, no del artículo entero. Cada módulo ES el proceso de verificación de SU dominio. SAQ = assessment organizativo autodeclarado."
art_14_septies,Art. 14 septies,Diferenciación de estándares (tipo de dato/tamaño/actividad/volumen),partial,pc_pa,Policy Compliance / Policy Audit,config compliance & hardening,full-in-domain,grounded,Scoping regulatorio. Qualys HABILITA estándares diferenciados (criticidad/policies) pero NO gradúa por categoría de dato. El mínimo lo fija la Agencia.
art_14_septies,Art. 14 septies,Diferenciación de estándares (tipo de dato/tamaño/actividad/volumen),partial,vmdr_pm,VMDR + Patch Management,vulnerabilidades + remediación,full-in-domain,grounded,Scoping regulatorio. Qualys HABILITA estándares diferenciados (criticidad/policies) pero NO gradúa por categoría de dato. El mínimo lo fija la Agencia.
art_14_septies,Art. 14 septies,Diferenciación de estándares (tipo de dato/tamaño/actividad/volumen),partial,csam,CyberSecurity Asset Management (CSAM),superficie / inventario de activos,detection-substrate,grounded,Scoping regulatorio. Qualys HABILITA estándares diferenciados (criticidad/policies) pero NO gradúa por categoría de dato. El mínimo lo fija la Agencia.
art_14_septies,Art. 14 septies,Diferenciación de estándares (tipo de dato/tamaño/actividad/volumen),partial,trurisk,TruRisk / Reporting,cuantificación de riesgo + evidencia,evidence,grounded,Scoping regulatorio. Qualys HABILITA estándares diferenciados (criticidad/policies) pero NO gradúa por categoría de dato. El mínimo lo fija la Agencia.
art_14_sexies_1,Art. 14 sexies inc. 1,Reportar a la Agencia las vulneraciones con riesgo razonable,detection-substrate,vmdr_pm,VMDR + Patch Management,vulnerabilidades + remediación,full-in-domain,grounded,Qualys DETECTA y fundamenta el evento; el ACTO de reportar a la Agencia es organizacional.
art_14_sexies_1,Art. 14 sexies inc. 1,Reportar a la Agencia las vulneraciones con riesgo razonable,detection-substrate,fim_fam,FIM / FAM,integridad de archivos & acceso a dato,detection-substrate,grounded,Qualys DETECTA y fundamenta el evento; el ACTO de reportar a la Agencia es organizacional.
art_14_sexies_1,Art. 14 sexies inc. 1,Reportar a la Agencia las vulneraciones con riesgo razonable,detection-substrate,edr,EDR,endpoint / IoC / contención,detection-substrate,grounded,Qualys DETECTA y fundamenta el evento; el ACTO de reportar a la Agencia es organizacional.
art_14_sexies_1,Art. 14 sexies inc. 1,Reportar a la Agencia las vulneraciones con riesgo razonable,detection-substrate,was_tas,WAS / TotalAppSec,web & API,full-in-domain,grounded,Qualys DETECTA y fundamenta el evento; el ACTO de reportar a la Agencia es organizacional.
art_14_sexies_1,Art. 14 sexies inc. 1,Reportar a la Agencia las vulneraciones con riesgo razonable,detection-substrate,cs,Container Security,imágenes / registry / runtime / K8s,full-in-domain,grounded,Qualys DETECTA y fundamenta el evento; el ACTO de reportar a la Agencia es organizacional.
art_14_sexies_1,Art. 14 sexies inc. 1,Reportar a la Agencia las vulneraciones con riesgo razonable,detection-substrate,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,Qualys DETECTA y fundamenta el evento; el ACTO de reportar a la Agencia es organizacional.
art_14_sexies_1,Art. 14 sexies inc. 1,Reportar a la Agencia las vulneraciones con riesgo razonable,detection-substrate,etm_id,ETM Identity,identidad (AD / Entra ID),full-in-domain,grounded,Qualys DETECTA y fundamenta el evento; el ACTO de reportar a la Agencia es organizacional.
art_14_sexies_2,Art. 14 sexies inc. 2,"Registrar las brechas (naturaleza, categorías de dato, nº titulares, medidas)",partial,vmdr_pm,VMDR + Patch Management,vulnerabilidades + remediación,full-in-domain,grounded,PARCIAL — el núcleo del registro queda fuera. Qualys aporta datos técnicos del evento; categorías de dato y nº de titulares = organizacional/jurídico (no clasifica ni cuenta).
art_14_sexies_2,Art. 14 sexies inc. 2,"Registrar las brechas (naturaleza, categorías de dato, nº titulares, medidas)",partial,pc_pa,Policy Compliance / Policy Audit,config compliance & hardening,full-in-domain,grounded,PARCIAL — el núcleo del registro queda fuera. Qualys aporta datos técnicos del evento; categorías de dato y nº de titulares = organizacional/jurídico (no clasifica ni cuenta).
art_14_sexies_2,Art. 14 sexies inc. 2,"Registrar las brechas (naturaleza, categorías de dato, nº titulares, medidas)",partial,was_tas,WAS / TotalAppSec,web & API,full-in-domain,grounded,PARCIAL — el núcleo del registro queda fuera. Qualys aporta datos técnicos del evento; categorías de dato y nº de titulares = organizacional/jurídico (no clasifica ni cuenta).
art_14_sexies_2,Art. 14 sexies inc. 2,"Registrar las brechas (naturaleza, categorías de dato, nº titulares, medidas)",partial,cs,Container Security,imágenes / registry / runtime / K8s,full-in-domain,grounded,PARCIAL — el núcleo del registro queda fuera. Qualys aporta datos técnicos del evento; categorías de dato y nº de titulares = organizacional/jurídico (no clasifica ni cuenta).
art_14_sexies_2,Art. 14 sexies inc. 2,"Registrar las brechas (naturaleza, categorías de dato, nº titulares, medidas)",partial,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,PARCIAL — el núcleo del registro queda fuera. Qualys aporta datos técnicos del evento; categorías de dato y nº de titulares = organizacional/jurídico (no clasifica ni cuenta).
art_14_sexies_2,Art. 14 sexies inc. 2,"Registrar las brechas (naturaleza, categorías de dato, nº titulares, medidas)",partial,etm_id,ETM Identity,identidad (AD / Entra ID),full-in-domain,grounded,PARCIAL — el núcleo del registro queda fuera. Qualys aporta datos técnicos del evento; categorías de dato y nº de titulares = organizacional/jurídico (no clasifica ni cuenta).
art_14_sexies_2,Art. 14 sexies inc. 2,"Registrar las brechas (naturaleza, categorías de dato, nº titulares, medidas)",partial,fim_fam,FIM / FAM,integridad de archivos & acceso a dato,detection-substrate,grounded,PARCIAL — el núcleo del registro queda fuera. Qualys aporta datos técnicos del evento; categorías de dato y nº de titulares = organizacional/jurídico (no clasifica ni cuenta).
art_14_sexies_2,Art. 14 sexies inc. 2,"Registrar las brechas (naturaleza, categorías de dato, nº titulares, medidas)",partial,edr,EDR,endpoint / IoC / contención,detection-substrate,grounded,PARCIAL — el núcleo del registro queda fuera. Qualys aporta datos técnicos del evento; categorías de dato y nº de titulares = organizacional/jurídico (no clasifica ni cuenta).
art_14_sexies_2,Art. 14 sexies inc. 2,"Registrar las brechas (naturaleza, categorías de dato, nº titulares, medidas)",partial,csam,CyberSecurity Asset Management (CSAM),superficie / inventario de activos,detection-substrate,grounded,PARCIAL — el núcleo del registro queda fuera. Qualys aporta datos técnicos del evento; categorías de dato y nº de titulares = organizacional/jurídico (no clasifica ni cuenta).
art_14_sexies_3,Art. 14 sexies inc. 3,Notificar a los titulares en lenguaje claro,out-of-scope,csam,CyberSecurity Asset Management (CSAM),superficie / inventario de activos,detection-substrate,grounded,Organizacional/legal. Qualys ayuda indirectamente a saber qué sistemas están en juego; NO clasifica ni notifica.
art_14_sexies_3,Art. 14 sexies inc. 3,Notificar a los titulares en lenguaje claro,out-of-scope,fim_fam,FIM / FAM,integridad de archivos & acceso a dato,detection-substrate,grounded,Organizacional/legal. Qualys ayuda indirectamente a saber qué sistemas están en juego; NO clasifica ni notifica.
art_15_bis_5,Art. 15 bis inc. 5,El encargado/procesador cumple 14 bis y 14 quinquies,partial,saq,Security Assessment Questionnaire (SAQ),assessment organizativo (autodeclarado),full-in-domain,grounded,"PARCIAL. SAQ recolecta la autodeclaración del encargado (!= verificar técnicamente). Si hay acceso a su entorno, los demás módulos lo verifican. La extensión del deber es legal/contractual."
art_15_bis_5,Art. 15 bis inc. 5,El encargado/procesador cumple 14 bis y 14 quinquies,partial,pc_pa,Policy Compliance / Policy Audit,config compliance & hardening,full-in-domain,grounded,"PARCIAL. SAQ recolecta la autodeclaración del encargado (!= verificar técnicamente). Si hay acceso a su entorno, los demás módulos lo verifican. La extensión del deber es legal/contractual."
art_15_bis_5,Art. 15 bis inc. 5,El encargado/procesador cumple 14 bis y 14 quinquies,partial,vmdr_pm,VMDR + Patch Management,vulnerabilidades + remediación,full-in-domain,grounded,"PARCIAL. SAQ recolecta la autodeclaración del encargado (!= verificar técnicamente). Si hay acceso a su entorno, los demás módulos lo verifican. La extensión del deber es legal/contractual."
art_15_bis_5,Art. 15 bis inc. 5,El encargado/procesador cumple 14 bis y 14 quinquies,partial,was_tas,WAS / TotalAppSec,web & API,full-in-domain,grounded,"PARCIAL. SAQ recolecta la autodeclaración del encargado (!= verificar técnicamente). Si hay acceso a su entorno, los demás módulos lo verifican. La extensión del deber es legal/contractual."
art_15_bis_5,Art. 15 bis inc. 5,El encargado/procesador cumple 14 bis y 14 quinquies,partial,cs,Container Security,imágenes / registry / runtime / K8s,full-in-domain,grounded,"PARCIAL. SAQ recolecta la autodeclaración del encargado (!= verificar técnicamente). Si hay acceso a su entorno, los demás módulos lo verifican. La extensión del deber es legal/contractual."
art_15_bis_5,Art. 15 bis inc. 5,El encargado/procesador cumple 14 bis y 14 quinquies,partial,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,"PARCIAL. SAQ recolecta la autodeclaración del encargado (!= verificar técnicamente). Si hay acceso a su entorno, los demás módulos lo verifican. La extensión del deber es legal/contractual."
art_15_bis_5,Art. 15 bis inc. 5,El encargado/procesador cumple 14 bis y 14 quinquies,partial,etm_id,ETM Identity,identidad (AD / Entra ID),full-in-domain,grounded,"PARCIAL. SAQ recolecta la autodeclaración del encargado (!= verificar técnicamente). Si hay acceso a su entorno, los demás módulos lo verifican. La extensión del deber es legal/contractual."
art_15_bis_5,Art. 15 bis inc. 5,El encargado/procesador cumple 14 bis y 14 quinquies,partial,fim_fam,FIM / FAM,integridad de archivos & acceso a dato,detection-substrate,grounded,"PARCIAL. SAQ recolecta la autodeclaración del encargado (!= verificar técnicamente). Si hay acceso a su entorno, los demás módulos lo verifican. La extensión del deber es legal/contractual."
art_15_bis_5,Art. 15 bis inc. 5,El encargado/procesador cumple 14 bis y 14 quinquies,partial,edr,EDR,endpoint / IoC / contención,detection-substrate,grounded,"PARCIAL. SAQ recolecta la autodeclaración del encargado (!= verificar técnicamente). Si hay acceso a su entorno, los demás módulos lo verifican. La extensión del deber es legal/contractual."
art_15_bis_5,Art. 15 bis inc. 5,El encargado/procesador cumple 14 bis y 14 quinquies,partial,csam,CyberSecurity Asset Management (CSAM),superficie / inventario de activos,detection-substrate,grounded,"PARCIAL. SAQ recolecta la autodeclaración del encargado (!= verificar técnicamente). Si hay acceso a su entorno, los demás módulos lo verifican. La extensión del deber es legal/contractual."
art_15_bis_5,Art. 15 bis inc. 5,El encargado/procesador cumple 14 bis y 14 quinquies,partial,certview,Certificate View (CertView),TLS/SSL en tránsito,detection-substrate,grounded,"PARCIAL. SAQ recolecta la autodeclaración del encargado (!= verificar técnicamente). Si hay acceso a su entorno, los demás módulos lo verifican. La extensión del deber es legal/contractual."
